,Country,Population,Median_Age,GDP_Rate,Birth_Rate,Death_Rate,Education_Rate,Public_Debt,Health_Expend,Fertility_Rate,Health_Expend x Public_Debt
116,Finland,5537364.0,42.6,2.8,0.0,0.0,0.0,0.0,9.7,1.75,16.974999999999998
117,Slovakia,5445040.0,41.0,3.4,9.6,9.9,4.6,50.9,8.1,1.42,11.501999999999999
118,Turkmenistan,5411012.0,28.3,6.5,18.9,6.1,3.0,28.8,2.1,2.06,4.3260000000000005
119,Norway,5372191.0,39.3,1.9,12.2,8.0,7.6,36.5,9.7,1.85,17.945
120,Ireland,5068050.0,37.1,7.2,0.0,0.0,0.0,0.0,7.8,1.96,15.288
121,"Congo, Republic of the",5062021.0,19.6,-3.1,33.7,9.2,4.6,130.8,5.2,4.26,22.152
122,Costa Rica,4987142.0,31.7,3.3,15.3,4.8,7.4,48.9,9.3,1.89,17.577
123,Georgia,4926087.0,38.3,5.0,12.1,10.9,3.8,44.9,7.4,1.76,13.024000000000001
124,Liberia,4809768.0,17.8,2.5,37.9,7.4,3.8,34.4,10.0,5.0,50.0
125,Oman,4613241.0,25.8,-0.9,23.7,3.3,6.7,46.9,3.6,2.8,10.08
126,New Zealand,4545627.0,38.1,3.0,0.0,0.0,0.0,0.0,11.0,2.01,22.11
127,Croatia,4270480.0,43.3,2.8,8.8,12.4,4.6,77.8,7.8,1.41,10.998
128,Bosnia and Herzegovina,3849891.0,42.5,3.0,8.7,10.1,0.0,39.5,9.6,1.31,12.576
129,Mauritania,3840429.0,20.7,3.5,29.9,7.8,2.6,96.6,3.8,3.79,14.402
130,Panama,3800644.0,29.5,5.4,17.6,5.0,3.2,37.8,8.0,2.28,18.24
131,Moldova,3437720.0,37.0,4.5,11.2,12.6,6.7,31.5,10.3,1.57,16.171000000000003
132,Uruguay,3369299.0,35.1,2.7,13.0,9.4,4.4,65.7,8.6,1.79,15.394
133,Puerto Rico,3294626.0,42.2,-2.4,8.0,8.9,6.1,51.6,0.0,1.21,0.0
134,Mongolia,3103428.0,28.8,5.1,18.2,6.3,4.1,91.4,4.7,2.04,9.588000000000001
135,Albania,3057220.0,33.4,3.8,13.2,6.9,4.0,71.8,8.2,1.52,12.463999999999999
136,Armenia,3038217.0,35.6,7.5,12.6,9.5,2.8,53.5,4.5,1.64,7.38
137,Kuwait,2916467.0,29.4,-3.3,18.8,2.3,0.0,20.6,3.0,2.35,7.050000000000001
138,Jamaica,2812090.0,28.6,0.7,16.5,7.6,5.3,101.0,5.4,2.09,11.286
139,West Bank,2798494.0,21.4,5.3,26.0,3.5,5.3,24.4,0.0,3.2,0.0
140,Lithuania,2793284.0,44.0,3.9,9.8,14.8,4.2,39.7,6.6,1.6,10.56
141,Namibia,2533224.0,21.4,-0.8,26.8,7.7,3.1,41.3,8.9,3.21,28.569
142,Qatar,2363569.0,33.4,1.6,9.5,1.6,2.9,53.8,2.2,1.89,4.158
143,Botswana,2249104.0,24.9,2.4,21.7,9.5,9.6,14.0,5.4,2.53,13.661999999999999
144,Gabon,2119036.0,20.5,0.5,26.5,6.2,2.7,62.7,3.4,3.52,11.968
145,Macedonia,2118945.0,38.2,0.0,10.8,9.6,0.0,39.3,6.5,1.49,9.685
146,Slovenia,2102126.0,44.2,5.0,9.2,9.9,4.9,73.6,9.2,1.58,14.536
147,"Gambia, The",2092731.0,21.3,4.6,28.6,6.9,3.1,88.0,7.3,3.42,24.965999999999998
148,Lesotho,1962461.0,24.4,-1.6,24.2,15.1,6.4,33.7,10.6,2.59,27.453999999999997
149,Latvia,1923559.0,43.9,4.5,9.6,14.5,5.3,36.3,5.9,1.52,8.968
150,Kosovo,1907592.0,29.6,3.7,0.0,0.0,0.0,21.2,0.0,0.0,0.0
151,Gaza Strip,1836713.0,17.4,-15.2,30.5,3.0,5.3,0.0,0.0,3.97,0.0
152,Guinea-Bissau,1833247.0,17.8,5.9,37.3,8.5,2.1,53.9,5.6,4.81,26.935999999999996
153,Bahrain,1442659.0,32.5,3.8,13.1,2.8,2.3,88.5,5.0,1.73,8.65
154,Mauritius,1364283.0,35.7,3.8,12.8,7.1,5.0,64.0,4.8,1.74,8.352
155,Timor-Leste,1321929.0,19.1,-4.6,32.9,5.8,2.7,3.8,1.5,4.67,7.005
156,Estonia,1244288.0,43.0,4.9,9.9,12.7,5.2,9.0,6.4,1.6,10.240000000000002
157,Cyprus,1237088.0,37.2,3.9,11.2,6.8,6.4,97.5,7.4,1.47,10.878
158,Trinidad and Tobago,1215527.0,36.6,-2.6,12.3,8.9,0.0,41.8,5.9,1.7,10.030000000000001
159,Eswatini,1087200.0,23.2,1.6,25.8,10.7,7.1,28.4,9.3,2.63,24.459
160,Fiji,926276.0,29.2,3.0,18.2,6.2,3.9,48.9,4.5,2.37,10.665000000000001
161,Djibouti,884017.0,24.2,6.7,23.3,7.5,4.5,31.8,10.6,2.27,24.061999999999998
162,Comoros,821164.0,20.2,2.7,25.3,7.1,4.3,32.4,6.7,3.21,21.507
163,Equatorial Guinea,797457.0,19.9,-3.2,31.7,7.6,0.0,37.4,3.8,4.29,16.302
164,Bhutan,766397.0,28.1,7.4,17.0,6.4,7.1,106.3,3.6,1.87,6.732
165,Guyana,740685.0,26.7,2.1,15.4,7.4,6.3,52.2,5.2,1.97,10.244
